Time,Step_number,Number_of_Actors_perceived,Actor_Id,Actor_type_perceived,Actor_pos_perceived_lat,Actor_pos_perceived_lng,Actor_heading_perceived,Actor_bpoly_perceived,Actor_acc_lat,Actor_acc_lng,Actor_vel_lat,Actor_vel_lng,Actor_vel_abs,Actor_TTC,Actor_bpoly_true
0.566667,1,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.583333,2,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.6,3,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.616667,4,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.633333,5,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.65,6,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.666667,7,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.683333,8,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.7,9,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.716667,10,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.733333,11,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.75,12,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.766667,13,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.783333,14,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.8,15,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.816667,16,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.833333,17,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.85,18,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
0.866667,19,1,TSV,4,1.354336129970772,103.69549778132762,2.53338,,0.0,0.0,0.0,0.0,,,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>
