Time,Step_number,VUT_pos_lat,VUT_pos_lng,VUT_heading,VUT_yaw_rate,VUT_jerk_lat,VUT_jerk_lng,VUT_accl_lat,VUT_accl_lng,VUT_vel_lat,VUT_vel_lng,VUT_vel_abs,VUT_travelled,VUT_ind_st_dir_left,VUT_ind_st_dir_right,VUT_ind_st_hazard,VUT_ind_st_reverse,VUT_ind_st_braking,VUT_throttle_cmd_value,VUT_braking_cmd_value,VUT_steering_angle,VUT_steering_angle_percentage,VUT_AV_drive_status,Number_of_Actors_perceived,Number_of_Actors_true,Number_of_Traffic_Ctrl_true
19.0,1109,1.3542831794424413,103.69559955725245,-44.60783959905996,-0.2744708000615826,0.007389221556885902,-0.008526946107784402,0.045632,-0.0490541,-0.273768,0.277492,0.38980857852027834,60.0936,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.0167,1110,1.354283221043202,103.69559951591849,-44.61299621921614,-0.30877965007098235,0.007389221556886317,-0.008467065868263384,0.0454906,-0.0489307,-0.273009,0.276675,0.3886939280539381,60.1001,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.0333,1111,1.3542832626439623,103.69559947548308,-44.61815283937233,-0.31063976844489954,0.007439759036144319,-0.008475903614457663,0.0453499,-0.0488072,-0.272252,0.27586,0.38758210885436906,60.1066,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.05,1112,1.3542833042447227,103.6955994341491,-44.62273650173336,-0.2744708000615826,0.00739520958083817,-0.00837125748502959,0.0452101,-0.0486837,-0.271498,0.275048,0.3864745351352402,60.113,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.0667,1113,1.3542833458454835,103.69559939371369,-44.62789312188954,-0.30877965007098235,0.007401197604790437,-0.008323353293413108,0.0450711,-0.0485601,-0.270746,0.274237,0.3853690811222405,60.1194,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.0833,1114,1.3542833865418793,103.69559935327828,-44.63304974204573,-0.31063976844489954,0.00745180722891575,-0.008331325301204678,0.0449328,-0.0484364,-0.269996,0.273428,0.384266458593513,60.1259,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.1,1115,1.3542834281426397,103.69559931284287,-44.63820636220191,-0.30877965007098235,0.007413173652694558,-0.008233532934131583,0.0447953,-0.0483126,-0.269249,0.272622,0.38316808176699685,60.1323,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.1167,1116,1.3542834688390353,103.69559927240746,-44.64336298235807,-0.30877965006928043,0.00740718562874229,-0.0081856287425151,0.0446586,-0.0481889,-0.268504,0.271817,0.38207182506041976,60.1386,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.1333,1117,1.3542835095354318,103.69559923287062,-44.648519602514256,-0.310639768444966,0.007469879518073658,-0.00819879518072446,0.0445225,-0.0480649,-0.267761,0.271015,0.38097911143001006,60.145,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.15,1118,1.3542835511361926,103.69559919243521,-44.65424918046554,-0.3430885000769783,0.00740718562874229,-0.008083832335329038,0.0443875,-0.0479412,-0.26702,0.270214,0.3798885181155124,60.1513,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.1667,1119,1.3542835918325884,103.69559915289837,-44.65940580062173,-0.30877965007098235,0.007413173652694558,-0.008047904191617094,0.0442531,-0.0478174,-0.266282,0.269416,0.3788021707699152,60.1576,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.1833,1120,1.3542836316246203,103.69559911246296,-44.66456242077791,-0.31063976844489954,0.007457831325301046,-0.008048192771084003,0.0441195,-0.0476936,-0.265546,0.26862,0.37771865523958437,60.164,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
19.2,1121,1.3542836723210163,103.69559907292611,-44.6702919987292,-0.3430885000769783,0.007407185628742706,-0.007958083832335152,0.0439866,-0.0475699,-0.264812,0.267826,0.37663797155889633,60.1702,0,0,0,0,0,0,0,0.04,22.91831180523293,0,1,1,1
