Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
5.45,296,1,,
5.46667,297,1,,
5.48333,298,1,,
5.5,299,1,,
5.51667,300,1,,
5.53333,301,1,,
5.55,302,1,,
5.56667,303,1,,
5.58333,304,1,,
5.6,305,1,,
5.61667,306,1,,
5.63333,307,1,,
5.65,308,1,,
5.66667,309,1,,
5.68333,310,1,,
5.7,311,1,,
5.71667,312,1,,
5.73333,313,1,,
5.75,314,1,,
5.76667,315,1,,
5.78333,316,1,,
5.8,317,1,,
5.81667,318,1,,
5.83333,319,1,,
5.85,320,1,,
5.86667,321,1,,
5.88333,322,1,,
5.9,323,1,,
5.91667,324,1,,
5.93333,325,1,,
5.95,326,1,,
5.96667,327,1,,
5.98333,328,1,,
6,329,1,,
6.01667,330,1,,
6.03333,331,1,,
6.05,332,1,,
6.06667,333,1,,
6.08333,334,1,,
6.1,335,1,,
6.11667,336,1,,
6.13333,337,1,,
6.15,338,1,,
6.16667,339,1,,
6.18333,340,1,,
6.2,341,1,,
6.21667,342,1,,
6.23333,343,1,,
6.25,344,1,,
6.26667,345,1,,
6.28333,346,1,,
6.3,347,1,,
6.31667,348,1,,
6.33333,349,1,,
6.35,350,1,,
6.36667,351,1,,
6.38333,352,1,,
6.4,353,1,,
6.41667,354,1,,
6.43333,355,1,,
6.45,356,1,,
6.46667,357,1,,
6.48333,358,1,,
6.5,359,1,,
6.51667,360,1,,
6.53333,361,1,,
6.55,362,1,,
6.56667,363,1,,
6.58333,364,1,,
6.6,365,1,,
6.61667,366,1,,
6.63333,367,1,,
6.65,368,1,,
6.66667,369,1,,
6.68333,370,1,,
6.7,371,1,,
6.71667,372,1,,
6.73333,373,1,,
6.75,374,1,,
6.76667,375,1,,
6.78333,376,1,,
6.8,377,1,,
6.81667,378,1,,
6.83333,379,1,,
6.85,380,1,,
6.86667,381,1,,
6.88333,382,1,,
6.9,383,1,,
6.91667,384,1,,
6.93333,385,1,,
6.95,386,1,,
6.96667,387,1,,
6.98333,388,1,,
7,389,1,,
7.01667,390,1,,
7.03333,391,1,,
7.05,392,1,,
7.06667,393,1,,
7.08333,394,1,,
7.1,395,1,,
7.11667,396,1,,
7.13333,397,1,,
7.15,398,1,,
7.16667,399,1,,
7.18333,400,1,,
7.2,401,1,,
7.21667,402,1,,
7.23333,403,1,,
7.25,404,1,,
7.26667,405,1,,
7.28333,406,1,,
7.3,407,1,,
7.31667,408,1,,
7.33333,409,1,,
7.35,410,1,,
7.36667,411,1,,
7.38333,412,1,,
7.4,413,1,,
7.41667,414,1,,
7.43333,415,1,,
7.45,416,1,,
7.46667,417,1,,
7.48333,418,1,,
7.5,419,1,,
7.51667,420,1,,
7.53333,421,1,,
7.55,422,1,,
7.56667,423,1,,
7.58333,424,1,,
7.6,425,1,,
7.61667,426,1,,
7.63333,427,1,,
7.65,428,1,,
7.66667,429,1,,
7.68333,430,1,,
7.7,431,1,,
7.71667,432,1,,
7.73333,433,1,,
7.75,434,1,,
7.76667,435,1,,
7.78333,436,1,,
7.8,437,1,,
7.81667,438,1,,
7.83333,439,1,,
7.85,440,1,,
7.86667,441,1,,
7.88333,442,1,,
7.9,443,1,,
7.91667,444,1,,
7.93333,445,1,,
7.95,446,1,,
7.96667,447,1,,
7.98333,448,1,,
8,449,1,,
8.01667,450,1,,
8.03333,451,1,,
8.05,452,1,,
8.06667,453,1,,
