Time,Step_number,Number_of_Actors_true,Actor_Id,Actor_type,Actor_pos_true_lat,Actor_pos_true_lng,Actor_heading_true,Actor_bpoly_true,Actor_acc_lat,Actor_acc_lng,Actor_vel_lat,Actor_vel_lng,Actor_vel_abs,Actor_TTC
0.533333,1,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.55,2,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.566667,3,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.583333,4,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.6,5,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.616667,6,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.633333,7,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.65,8,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.666667,9,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.683333,10,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.7,11,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
0.716667,12,1,TSV,4,1.354336129970772,103.69549778132762,-55.1519819028525,<4 | 1.3543304401115273 103.6954754614884 | 1.3543170362460177 103.69548473423814 | 1.3543418198298096 103.69552010116692 | 1.3543552236954526 103.6955108284173>,0.0,0.0,0.0,0.0,0.0,
