Time,Step_number,VUT_pos_lat,VUT_pos_lng,VUT_heading,VUT_yaw_rate,VUT_jerk_lat,VUT_jerk_lng,VUT_accl_lat,VUT_accl_lng,VUT_vel_lat,VUT_vel_lng,VUT_vel_abs,VUT_travelled,VUT_ind_st_dir_left,VUT_ind_st_dir_right,VUT_ind_st_hazard,VUT_ind_st_reverse,VUT_ind_st_braking,VUT_throttle_cmd_value,VUT_braking_cmd_value,VUT_steering_angle,VUT_steering_angle_percentage,VUT_AV_drive_status,Number_of_Actors_perceived,Number_of_Actors_true,Number_of_Traffic_Ctrl_true
0.533333,1,1.3539756901013082,103.69604080095596,-56.34258820113433,,,,-1.94451,1.29473,-0.956092,0.636605,1.148641736351679,0.287136,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.55,2,1.3539757877726832,103.69604065538853,-56.34258820113433,0.0,0.0,0.0005999880002439223,-1.9445,1.29473,-0.9885,0.658184,1.1875767039884202,0.306604,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.566667,3,1.353975888157152,103.6960405044297,-56.34258820113433,0.0,-0.0005999880002306039,0.0005999880002306039,-1.94449,1.29472,-1.02091,0.679762,1.2265127821364112,0.326722,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.583333,4,1.3539759921590788,103.69604034897806,-56.34258820113433,0.0,-0.0006000240009639708,0.0006000240009639708,-1.94448,1.29471,-1.05332,0.701341,1.2654494145089326,0.347488,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.6,5,1.353976099778464,103.69604018903358,-56.34258820113433,0.0,-0.0005999880002439263,0.00119997600047453,-1.94446,1.2947,-1.08572,0.722919,1.3043771689818096,0.368903,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.616667,6,1.3539762101109432,103.6960400245963,-56.34258820113433,0.0,-0.0005999880002439263,0.0005999880002439263,-1.94445,1.29469,-1.11813,0.744498,1.3433138013524615,0.390967,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.633333,7,1.3539763240608804,103.69603985386907,-56.34258820113433,0.0,-0.0006000240009506435,0.0012000480019146104,-1.94443,1.29468,-1.15054,0.766076,1.3822498794993616,0.41368,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.65,8,1.353976441628276,103.69603967954757,-56.34258820113433,0.0,-0.0005999880002439263,0.0005999880002439263,-1.94442,1.29467,-1.18295,0.787654,1.4211859576480481,0.437042,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.666667,9,1.3539765619087656,103.69603949983468,-56.34258820113433,0.0,-0.0005999880002439263,0.0011999760004878525,-1.9444,1.29466,-1.21535,0.809232,1.4601137121210799,0.461053,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.683333,10,1.3539766849023487,103.69603931562898,-56.34258820113433,0.0,-0.0006000240009506475,0.0012000480019146184,-1.94438,1.29465,-1.24776,0.830809,1.499049236042966,0.485713,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.7,11,1.353976812417755,103.69603912603189,-56.34258820113433,0.0,-0.0005999880002439263,0.00119997600047453,-1.94436,1.29464,-1.28017,0.852387,1.537985314191589,0.511022,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
